iteration	epoch	batch	train_loss	train_time_per_img
10	1	10	0.6058	0.8222
20	1	20	0.5471	0.8266
30	1	30	0.5175	0.8394
40	1	40	0.5031	0.8444
50	1	50	0.4791	0.8702
60	1	60	0.4304	0.8755
70	1	70	0.4296	0.8932
80	1	80	0.4215	0.9048
90	1	90	0.4287	0.9109
100	1	100	0.4121	0.8888
110	2	10	0.3988	0.9163
120	2	20	0.4141	0.9022
130	2	30	0.3931	0.9036
140	2	40	0.3957	0.9080
150	2	50	0.3878	0.9077
160	2	60	0.3475	0.8995
170	2	70	0.3633	0.9112
180	2	80	0.3556	0.8994
190	2	90	0.3782	0.9091
200	2	100	0.3699	0.8952
210	3	10	0.3872	0.9132
220	3	20	0.3667	0.9079
230	3	30	0.3193	0.9048
240	3	40	0.3386	0.9070
250	3	50	0.3414	0.9026
260	3	60	0.3732	0.9021
270	3	70	0.3218	0.9065
280	3	80	0.3541	0.9040
290	3	90	0.3284	0.9100
300	3	100	0.3056	0.8950
310	4	10	0.3494	0.9136
320	4	20	0.3086	0.9011
330	4	30	0.2934	0.9038
340	4	40	0.3212	0.9071
350	4	50	0.2842	0.9089
360	4	60	0.3317	0.9048
370	4	70	0.2938	0.9026
380	4	80	0.3076	0.9014
390	4	90	0.3233	0.9029
400	4	100	0.3282	0.8924
410	5	10	0.2941	0.9178
420	5	20	0.3098	0.9024
430	5	30	0.2791	0.9017
440	5	40	0.3107	0.9047
450	5	50	0.3109	0.9096
460	5	60	0.3112	0.9032
470	5	70	0.2738	0.9058
480	5	80	0.3107	0.9031
490	5	90	0.3044	0.9021
500	5	100	0.2760	0.8940
510	6	10	0.3007	0.9152
520	6	20	0.2998	0.9038
530	6	30	0.3278	0.9037
540	6	40	0.2708	0.8978
550	6	50	0.2778	0.9080
560	6	60	0.2688	0.8977
570	6	70	0.2642	0.9096
580	6	80	0.2736	0.8938
590	6	90	0.2716	0.9084
600	6	100	0.3298	0.8899
610	7	10	0.2946	0.9152
620	7	20	0.2790	0.9040
630	7	30	0.2536	0.9018
640	7	40	0.2452	0.9064
650	7	50	0.2865	0.9033
660	7	60	0.2494	0.9032
670	7	70	0.2667	0.9066
680	7	80	0.2911	0.9015
690	7	90	0.2473	0.9082
700	7	100	0.2790	0.8942
710	8	10	0.2518	0.9216
720	8	20	0.2423	0.9032
730	8	30	0.2814	0.9023
740	8	40	0.2862	0.9056
750	8	50	0.2400	0.9104
760	8	60	0.2847	0.9018
770	8	70	0.2440	0.9049
780	8	80	0.2624	0.9038
790	8	90	0.2658	0.9114
800	8	100	0.2556	0.8946
810	9	10	0.2396	0.9184
820	9	20	0.2287	0.9062
830	9	30	0.2743	0.9054
840	9	40	0.2523	0.9044
850	9	50	0.2564	0.9053
860	9	60	0.2506	0.9028
870	9	70	0.2471	0.9104
880	9	80	0.2521	0.9041
890	9	90	0.2281	0.9027
900	9	100	0.2437	0.8943
910	10	10	0.2328	0.9099
920	10	20	0.2377	0.9031
930	10	30	0.2587	0.9059
940	10	40	0.2234	0.9031
950	10	50	0.2322	0.9040
960	10	60	0.2504	0.9040
970	10	70	0.2467	0.9063
980	10	80	0.2284	0.9087
990	10	90	0.2275	0.9032
1000	10	100	0.2382	0.8934
1010	11	10	0.2252	0.9164
1020	11	20	0.2524	0.9059
1030	11	30	0.2822	0.9062
1040	11	40	0.2859	0.9062
1050	11	50	0.2481	0.9037
1060	11	60	0.2361	0.8986
1070	11	70	0.2187	0.8988
1080	11	80	0.2206	0.8993
1090	11	90	0.2507	0.9073
1100	11	100	0.2288	0.8914
1110	12	10	0.2376	0.9183
1120	12	20	0.2277	0.9080
1130	12	30	0.2259	0.9062
1140	12	40	0.2296	0.9031
1150	12	50	0.2130	0.9032
1160	12	60	0.1894	0.9049
1170	12	70	0.2485	0.9101
1180	12	80	0.2392	0.9038
1190	12	90	0.2293	0.9082
1200	12	100	0.2296	0.8951
1210	13	10	0.2039	0.9170
1220	13	20	0.2252	0.9050
1230	13	30	0.2063	0.9038
1240	13	40	0.2423	0.9070
1250	13	50	0.2442	0.9085
1260	13	60	0.2141	0.8982
1270	13	70	0.2019	0.9012
1280	13	80	0.2214	0.9089
1290	13	90	0.2636	0.9066
1300	13	100	0.2271	0.8939
1310	14	10	0.1976	0.9148
1320	14	20	0.2085	0.9005
1330	14	30	0.2342	0.9038
1340	14	40	0.2067	0.9055
1350	14	50	0.1988	0.9077
1360	14	60	0.2026	0.9057
1370	14	70	0.2106	0.9077
1380	14	80	0.2254	0.9034
1390	14	90	0.2339	0.9081
1400	14	100	0.2521	0.8916
1410	15	10	0.2019	0.9112
1420	15	20	0.2095	0.9013
1430	15	30	0.2022	0.9002
1440	15	40	0.2199	0.9112
1450	15	50	0.1917	0.9047
1460	15	60	0.2197	0.8987
1470	15	70	0.2131	0.9056
1480	15	80	0.2213	0.9005
1490	15	90	0.2075	0.9093
1500	15	100	0.1776	0.8918
1510	16	10	0.2020	0.9142
1520	16	20	0.2006	0.9024
1530	16	30	0.2006	0.9035
1540	16	40	0.2013	0.9076
1550	16	50	0.2132	0.9080
1560	16	60	0.1845	0.9015
1570	16	70	0.2065	0.9059
1580	16	80	0.2437	0.9038
1590	16	90	0.2186	0.9081
1600	16	100	0.2019	0.8936
1610	17	10	0.1977	0.9146
1620	17	20	0.2001	0.9023
1630	17	30	0.2241	0.9052
1640	17	40	0.2005	0.9072
1650	17	50	0.2152	0.9046
1660	17	60	0.2245	0.8984
1670	17	70	0.2296	0.9084
1680	17	80	0.1975	0.9062
1690	17	90	0.1890	0.9097
1700	17	100	0.2031	0.8930
1710	18	10	0.1898	0.9176
1720	18	20	0.1845	0.9043
1730	18	30	0.2023	0.9046
1740	18	40	0.1966	0.9068
1750	18	50	0.2036	0.9054
1760	18	60	0.1975	0.9040
1770	18	70	0.2050	0.9029
1780	18	80	0.2153	0.9030
1790	18	90	0.2040	0.9077
1800	18	100	0.2175	0.8942
1810	19	10	0.1925	0.9193
1820	19	20	0.1941	0.9052
1830	19	30	0.1869	0.9021
1840	19	40	0.2378	0.9082
1850	19	50	0.1879	0.9061
1860	19	60	0.2033	0.9068
1870	19	70	0.1973	0.9019
1880	19	80	0.1940	0.8999
1890	19	90	0.1991	0.9038
1900	19	100	0.1924	0.8952
1910	20	10	0.1839	0.9166
1920	20	20	0.1790	0.9060
1930	20	30	0.1771	0.9042
1940	20	40	0.1764	0.9083
1950	20	50	0.2047	0.8990
1960	20	60	0.1697	0.9058
1970	20	70	0.1952	0.9087
1980	20	80	0.1696	0.9018
1990	20	90	0.1995	0.9062
2000	20	100	0.1894	0.8947
2010	21	10	0.1741	0.9174
2020	21	20	0.1786	0.9034
2030	21	30	0.2018	0.9035
2040	21	40	0.1635	0.9075
2050	21	50	0.1830	0.9063
2060	21	60	0.1826	0.9005
2070	21	70	0.2244	0.9057
2080	21	80	0.1736	0.9021
2090	21	90	0.1716	0.9053
2100	21	100	0.1897	0.8902
2110	22	10	0.1732	0.9139
2120	22	20	0.1724	0.9087
2130	22	30	0.1784	0.9025
2140	22	40	0.1923	0.9023
2150	22	50	0.2000	0.9061
2160	22	60	0.1855	0.9050
2170	22	70	0.1966	0.9098
2180	22	80	0.1873	0.9009
2190	22	90	0.1885	0.9015
2200	22	100	0.1855	0.8964
2210	23	10	0.1714	0.9116
2220	23	20	0.1582	0.8970
2230	23	30	0.1684	0.9099
2240	23	40	0.1646	0.8989
2250	23	50	0.1862	0.9041
2260	23	60	0.1770	0.9059
2270	23	70	0.1728	0.9104
2280	23	80	0.1804	0.9032
2290	23	90	0.1964	0.9079
2300	23	100	0.1838	0.8891
2310	24	10	0.1593	0.9145
2320	24	20	0.1647	0.9041
2330	24	30	0.1713	0.9002
2340	24	40	0.1628	0.9041
2350	24	50	0.1906	0.8984
2360	24	60	0.1672	0.8997
2370	24	70	0.1912	0.9006
2380	24	80	0.1884	0.8937
2390	24	90	0.1901	0.8933
2400	24	100	0.1693	0.8931
2410	25	10	0.1743	0.9181
2420	25	20	0.1658	0.9044
2430	25	30	0.1900	0.9016
2440	25	40	0.1723	0.9089
2450	25	50	0.1698	0.9037
